t,open,high,low,close,volume
2013-09-03,132.3840168501734,132.66444053774563,131.15816473021474,131.711,142331733.0
2013-09-04,131.7433992760181,133.0253395475113,131.5030354751131,132.801,97219175.0
2013-09-05,132.88086677512652,133.32153289949386,132.78472143890093,132.969,63023864.0
2013-09-06,133.4095689592869,133.78613791857381,131.7831115393881,133.033,159700226.0
2013-09-09,133.36157101950724,134.38712110004175,133.36157101950724,134.307,87408601.0
2013-09-10,135.11572215313555,135.32403624089537,134.81126310179428,135.3,105300853.0
2013-09-11,135.116080283353,135.725,134.88372933884295,135.725,94296092.0
2013-09-12,135.67747321692812,135.85374015981063,135.18072092335012,135.365,83134871.0
2013-09-13,135.5087578692494,135.7731573849879,135.19628571428572,135.669,72700859.0
2013-09-16,137.1350281251835,137.19912488990667,136.23767341905938,136.454,126115232.0
2013-09-17,136.5742618811013,137.09504840123927,136.5742618811013,137.063,82269719.0
2013-09-18,137.01453620340942,139.02556763941058,136.67001687373593,138.649,203079713.0
2013-09-19,139.025919425793,139.09001620745542,138.28079433896735,138.417,146510429.0
2013-09-20,138.75028010777885,138.75028010777885,137.34127999062795,137.454,132555427.0
2013-09-23,137.2688802448067,137.3977031718943,136.38322262107926,136.818,104534720.0
2013-09-24,136.79390314398634,137.30114363239545,136.23835403763348,136.496,101097962.0
2013-09-25,136.58408447704684,136.8578323473734,135.98022888073828,136.101,117195118.0
2013-09-26,136.32709647003358,137.01146944428075,136.10970740762568,136.625,77036992.0
2013-09-27,135.94063986738502,136.18218329287785,135.64273630927713,135.997,98644882.0
2013-09-30,134.84527444794952,135.69872555205046,134.57957740610678,135.272,143620138.0
2013-10-01,135.376827802055,136.47182295972598,135.23995340734615,136.343,126997489.0
2013-10-02,135.54573176498403,136.34282279229222,135.1270576900343,136.214,112859880.0
2013-10-03,135.90001682376803,136.0207882114306,134.32998878415464,134.958,176563533.0
2013-10-04,135.06313428859022,136.1178747113506,134.88600230919533,135.981,96853649.0
2013-10-07,134.79694857552408,135.62624529654184,134.6600743594338,134.805,96070316.0
2013-10-08,134.78087382160987,134.95800519700268,133.1383828861494,133.235,178558678.0
2013-10-09,133.49302898550727,133.81508695652172,132.47049492753624,133.332,168271554.0
2013-10-10,134.6923316190814,136.27846284802268,134.64402305373292,136.206,194021164.0
2013-10-11,135.99705415247269,137.13230870433455,135.88433384235876,137.084,104967037.0
2013-10-14,136.23810407160408,137.7437199017199,136.1334355914356,137.631,111901876.0
2013-10-15,137.28516694166177,137.8004593400118,136.44781679434297,136.633,153958055.0
2013-10-16,137.45405660487012,138.61346289300866,137.38964514441798,138.541,161058684.0
2013-10-17,137.97748406650504,139.5475143747835,137.95332975406998,139.467,129004482.0
2013-10-18,139.98227386891452,140.5056172372269,139.70047359366936,140.409,138269996.0
2013-10-21,140.45725716743118,140.69880017201834,140.1029940940367,140.417,104054017.0
2013-10-22,140.82742888090758,141.6486739638561,140.44096060657887,141.23,126536379.0
2013-10-23,140.7472345763877,140.81164610185024,140.06286211834797,140.554,105370556.0
2013-10-24,140.8358168427062,141.19813171567225,140.50570773622607,141.021,70144619.0
